White,Black,Score
2959,3488,0
2959,3507,0.5
2959,4045,0.5
2962,2283,0.5
2981,4723,0
2981,7038,0.5
3010,2165,0.5
3010,5429,1
3031,6261,0
3035,3041,0.5
3035,8388,0.5
3039,6778,0.5
3041,5429,0.5
3041,7112,0
3076,418,0.5
3076,6268,1
3076,7321,1
3144,1837,0.5
3144,4218,0.5
3144,7087,0
3246,1779,1
3246,1932,0
3246,3349,0.5
3246,4086,0.5
3246,5473,1
3246,5552,1
3349,1932,0
3349,4346,0.5
3349,5403,1
3353,898,0.5
3353,8267,0
3362,4346,0.5
3377,7416,0
3404,4214,0
3404,4218,0.5
3404,7087,0.5
3416,4779,0.5
3416,8210,0
3487,2748,0
3487,3010,0
3487,7248,0
3488,2847,1
3488,4092,0.5
3488,4857,0.5
3507,2847,0
3507,3488,1
3518,898,0
3518,5960,0.5
3614,6934,0
3628,8549,0.5
3687,5470,0
3698,8415,0
3744,3853,0.5
3744,5602,0.5
3744,7765,0.5
3785,3039,1
3785,5950,1
3785,7357,0
3853,3246,0
3853,4923,0
3853,5552,0
3909,898,1
3909,2609,0.5
3912,3931,0
3912,6212,0.5
3931,4430,1
3931,5018,1
3963,3853,1
3963,6848,1
4045,4092,1
4045,4857,0.5
4050,1135,0.5
4073,6850,0.5
4074,3488,0
4074,3507,0
4074,4045,1
4082,1033,0.5
4082,2962,1
4082,4176,0.5
4082,4329,1
4082,7189,1
4082,8388,0.5
4086,1815,0.5
4086,7357,0
4092,2959,1
4092,3507,0.5
4092,4074,1
4116,1246,0.5
4116,5097,0.5
4116,7321,1
4126,6217,0
4176,2165,1
4176,7248,1
4194,559,1
4194,1594,0.5
4214,952,0.5
4214,4218,0.5
4214,7087,0
4218,952,1
4218,1837,0.5
4218,6007,0
4222,2420,0
4329,751,1
4329,8120,0.5
4346,1164,0.5
4346,1815,0.5
4401,6219,0
4431,3041,0
4431,7717,1
4455,5470,0
4455,8341,0
4540,3487,0.5
4560,370,0
4560,7248,0
4560,7503,0
4562,699,0
4602,1281,0.5
4602,6914,0
4607,2748,0.5
4607,2962,0
4694,1322,1
4694,7503,1
4723,1408,1
4723,5031,0.5
4734,971,0.5
4734,7416,1
4779,6305,1
4779,6346,0.5
4779,7461,0.5
4779,8210,0.5
4857,2847,0
4857,3507,1
4857,4092,0.5
4893,5282,0
4893,6054,0
4899,1091,1
4899,2028,1
4899,5731,0
4899,6914,0.5
4923,1135,1
4923,6217,1
4923,6850,0
5018,870,0
5018,1164,0.5
5018,7362,1
5031,2981,1
5031,7038,1
5057,4723,0
5089,3909,0
5090,898,0
5097,1455,0.5
5097,3076,0
5097,5104,0.5
5097,5575,1
5097,7375,1
5104,1455,0.5
5104,3076,0.5
5104,5575,1
5104,6268,1
5187,6305,0.5
5187,8152,0.5
5254,7106,1
5254,8325,1
5310,3377,0
5310,4401,1
5310,6219,1
5403,4086,1
5403,4346,0.5
5403,6202,1
5403,6631,0
5403,6697,0.5
5429,2095,0
5429,7831,0.5
5429,8170,0
5435,2434,0
5435,5681,0
5473,1779,0
5473,3377,1
5473,5018,0.5
5473,8334,1
5575,73,0.5
5575,1455,0
5575,4116,1
5575,6268,0
5575,7375,1
5577,748,0
5577,7364,0.5
5602,7354,1
5638,1135,0.5
5638,2938,1
5681,3912,0
5681,8267,0.5
5731,5018,0
5731,7765,1
5919,8083,0.5
5930,948,1
5940,793,0
5940,7023,0.5
5942,1535,1
5942,1768,1
5942,5930,1
5950,2108,1
5950,5277,1
5950,5310,1
5950,5403,0
5955,559,1
5955,2938,0.5
5955,6346,0.5
5960,3909,1
5960,5187,1
5960,5602,0.5
5960,6697,1
6007,952,0.5
6007,1837,0
6007,4214,1
6008,3246,0.5
6008,5602,0
6029,2332,0
6029,6808,0
6029,7849,0.5
6038,753,0.5
6038,4073,1
6038,8553,0.5
6054,559,1
6054,1594,0
6054,6962,0
6059,6993,0
6089,7765,1
6119,2652,1
6119,6589,0
6171,2938,0.5
6202,3349,0
6202,4346,0.5
6212,2433,1
6212,5919,1
6212,6463,0.5
6217,1135,0
6217,6631,0
6219,5950,0.5
6239,559,0.5
6239,6962,0.5
6268,73,0.5
6268,418,0.5
6268,1246,0.5
6268,5097,0
6268,7321,1
6270,2108,0.5
6270,2215,1
6346,2028,1
6346,2938,0.5
6346,5473,0.5
6463,3358,1
6463,5942,1
6463,6008,1
6463,6038,1
6589,96,1
6631,4050,1
6631,5018,0.5
6631,6697,0
6697,748,1
6697,3349,0
6697,4899,0
6778,3377,0.5
6778,3785,1
6778,6914,1
6794,4126,0
6808,3416,1
6808,3744,0.5
6808,7354,0.5
6848,8355,0.5
6850,971,1
6850,4194,0.5
6850,5955,0.5
6850,6054,0.5
6910,793,0
6910,3487,1
6910,7503,0.5
6914,527,1
6914,3744,0
6914,7641,0.5
6920,2095,0
6920,5655,1
6934,6084,1
6934,7591,1
6962,3416,1
6962,4194,0.5
6962,4734,0
6991,6914,0.5
6991,7641,0.5
6993,1932,0.5
7001,7106,1
7023,1347,0
7023,7112,0
7023,7831,0.5
7038,1408,1
7038,2451,0.5
7038,4723,0
7038,7582,1
7042,7591,1
7087,4218,1
7087,6007,0.5
7112,3035,0.5
7112,4176,1
7112,8388,0.5
7139,96,0
7189,5940,1
7192,2283,0
7192,6910,0.5
7192,7023,0
7192,8120,0.5
7248,1033,0.5
7248,5429,1
7248,5940,0
7269,3744,0
7307,5090,0
7321,5104,0.5
7321,5575,1
7321,7375,0
7354,3569,0
7354,6631,1
7362,7269,0.5
7362,7849,1
7364,4779,0.5
7364,6697,1
7364,7447,1
7364,8287,0
7364,8553,1
7375,5104,0.5
7375,6268,0.5
7403,748,0
7403,753,0.5
7403,3744,0
7403,5960,0.5
7416,5018,0.5
7416,5638,0
7416,8152,0.5
7434,1860,0
7434,6920,0
7434,7192,0.5
7447,559,0
7447,5187,0.5
7461,971,1
7461,1481,0.5
7461,6962,0.5
7461,8121,0.5
7463,3349,0
7503,3487,0
7503,7717,1
7582,4723,1
7591,3039,0.5
7641,6778,0
7715,8059,0.5
7717,1322,0
7717,5655,0.5
7765,7416,0.5
7765,8152,0
7802,3010,0.5
7802,8170,0.5
7831,4694,1
7831,5940,1
7831,7717,0.5
7831,8120,0
7831,8375,0
7849,870,0
7948,3377,0.5
7948,3416,1
7948,4779,0.5
7948,7591,1
7948,7765,0.5
8059,158,0.5
8059,7715,1
8082,6270,0
8083,2867,0.5
8083,5282,1
8086,2605,0
8092,876,0.5
8120,751,1
8120,4694,0.5
8121,753,1
8121,5955,0.5
8152,1594,1
8152,3377,1
8152,8072,1
8170,2095,0.5
8170,2748,0.5
8170,7831,0.5
8177,5282,0.5
8177,5731,1
8177,5950,0.5
8177,7948,0.5
8210,5955,0.5
8210,6038,0.5
8267,4764,1
8287,971,1
8287,8553,1
8324,4455,0.5
8325,5277,0
8325,6934,0
8375,1703,0.5
8375,1860,1
8375,2684,0.5
8388,793,0
8388,6920,1
8411,6791,0.5
8553,3416,1
8553,5403,0.5
8553,5577,0.5
8553,5614,0.5
8571,4969,0.5
8571,6029,1
8571,6633,1
5,2548,0
5,4854,0
5,7849,0
5,8045,1
143,4286,0.5
143,7053,0.5
213,3980,0.5
213,4071,0
213,5345,0
277,4954,1
285,2988,0
285,3979,1
285,6187,0.5
344,3983,0.5
344,7087,0.5
410,1785,0.5
410,4585,0
428,5,1
428,2919,1
428,7414,1
428,7849,1
454,3362,0
672,5254,0
883,1837,0
883,4214,0.5
883,5057,0.5
893,454,1
893,3995,0.5
1020,143,1
1020,4286,0.5
1020,7053,1
1033,1481,0.5
1033,3035,0
1033,4634,0
1033,6147,0.5
1033,8435,0.5
1076,277,0.5
1076,3097,1
1076,3655,0.5
1076,4379,1
1408,3983,1
1481,3474,1
1481,4037,0.5
1496,1033,1
1496,3035,0
1496,4037,0
1496,6035,0.5
1496,8435,0.5
1563,143,1
1563,7053,0.5
1657,2182,0
1768,1020,1
1768,3060,1
1785,410,0.5
1799,213,0.5
1799,2182,0.5
1799,3309,0.5
1799,3980,0.5
1799,4045,0
1799,4071,0.5
1799,5345,0.5
1837,2513,0.5
1837,4948,0.5
2182,213,0.5
2182,4045,0
2182,4071,1
2182,5345,0.5
2379,893,0
2379,3995,0.5
2379,7971,1
2513,883,0.5
2513,2846,0.5
2513,4948,0.5
2513,5057,1
2548,428,0.5
2548,2919,0
2548,6117,0.5
2548,7414,0.5
2623,285,1
2623,3979,0.5
2623,5428,1
2623,6187,1
2693,4585,0.5
2693,4703,0
2846,4214,0.5
2846,4948,1
2919,5,0.5
2919,5272,0.5
2919,6117,0.5
2919,7849,0.5
2988,4585,0.5
2988,8618,0.5
2988,8627,1
3035,1481,0.5
3035,4634,0.5
3035,6147,1
3047,1033,0
3047,1496,0.5
3047,3474,0.5
3047,6035,0.5
3060,143,0.5
3060,1020,0
3060,1563,0.5
3097,277,0.5
3097,3655,0
3097,5295,0.5
3097,8097,0.5
3144,344,1
3144,1408,0
3225,672,0
3225,5254,0
3225,7186,0.5
3309,2182,0.5
3309,4071,0
3309,5345,1
3309,7441,1
3362,893,0.5
3362,7453,1
3362,7971,0.5
3474,3035,0
3474,4634,0
3474,6035,1
3474,6147,0.5
3474,8435,0.5
3572,3144,0.5
3572,6347,0.5
3572,7087,1
3655,5295,0.5
3682,344,0.5
3682,1408,1
3682,3572,0
3979,2988,0
3979,4585,0
3979,6187,1
3980,1657,0.5
3980,4071,1
3980,5345,0.5
3983,3144,0
3983,3682,0.5
3983,7087,0.5
3995,454,0.5
3995,3362,0
4037,1033,1
4037,3035,1
4037,3047,1
4045,213,0.5
4045,1657,1
4045,4071,0
4045,5345,0.5
4138,1020,0.5
4138,1563,0.5
4138,1768,0.5
4138,3060,1
4214,1837,1
4286,3060,0.5
4286,4138,1
4379,3097,0.5
4379,3655,1
4585,285,0.5
4585,410,0.5
4585,2623,0.5
4585,2693,1
4585,4703,1
4585,7038,1
4634,1481,1
4634,4037,0.5
4703,2693,1
4703,4585,1
4854,2548,0.5
4854,7414,1
4854,8045,0
4948,883,0
4948,4214,1
4948,5057,0.5
4954,1076,0
4954,3097,0
4954,4379,1
5057,1837,1
5254,5847,1
5254,7901,1
5272,5,1
5272,428,0.5
5272,4854,1
5272,6117,0.5
5295,1076,0.5
5295,4954,0.5
5428,2988,0
5428,4585,1
5428,6187,1
5428,8627,0
5847,672,0
5847,3225,0.5
5847,6867,0.5
5847,7186,0.5
6035,1033,0.5
6035,3035,0.5
6035,4037,0
6035,6147,1
6035,8435,0
6117,5,1
6117,428,0.5
6117,7849,0.5
6117,8045,1
6147,3047,0
6147,4037,0
6187,2988,0.5
6187,4585,0
6347,344,0.5
6347,1408,0.5
6867,3225,0.5
6867,5254,0
6867,7901,0
7038,285,0.5
7038,2623,0.5
7038,3979,1
7038,5428,1
7053,4138,1
7053,4286,0.5
7087,1408,1
7087,3144,0.5
7087,3682,1
7186,5254,0.5
7186,6867,1
7186,8318,0.5
7414,5,1
7414,5272,0.5
7441,1932,1
7453,454,0
7453,893,1
7453,3995,1
7849,4854,0
7849,7414,1
7849,8045,1
7901,672,0.5
7901,3225,0.5
7971,893,0.5
7971,3995,0.5
7971,7453,0.5
8045,428,1
8045,2548,0.5
8045,2919,0
8097,1076,0.5
8097,4379,0.5
8097,4954,0.5
8097,5295,0.5
8318,3225,0
8435,1481,0.5
8435,3047,0
8435,6147,0.5
8618,285,0.5
8618,2623,1
8618,5428,0.5
8618,7038,0.5
8627,285,1
8627,4585,1
54,4317,0.5
56,5289,1
56,7416,0
64,7955,1
64,8347,1
111,414,0
111,5675,0.5
113,7664,0
140,2599,0.5
140,7722,0.5
166,405,1
166,4512,0.5
187,4719,0.5
187,5614,1
187,8349,0.5
199,3678,0
199,6931,1
232,2797,0.5
232,7473,0
254,7518,0.5
277,2623,0
277,6548,0.5
313,6125,1
313,6734,1
405,2215,0
405,2532,1
405,4218,0.5
405,5057,1
405,7087,0
414,918,0.5
414,4484,1
414,5675,0.5
454,1146,1
454,1155,0.5
454,8238,0.5
488,6,1
488,3861,0.5
488,8150,0
491,3861,0.5
536,6211,1
559,2642,0
559,5419,0.5
559,6589,0.5
559,6934,0.5
559,7593,1
559,8353,0
672,6867,0.5
672,7049,0.5
675,3463,0
675,7119,0.5
675,7938,1
690,8175,0.5
714,5342,0.5
714,6706,0.5
714,7366,0
726,4583,0.5
726,4900,0
769,7867,0.5
769,8603,0.5
772,2404,1
772,2510,0.5
772,2912,0
772,3669,1
782,690,0.5
782,876,0
782,6754,1
782,8072,1
799,232,0.5
799,6589,0.5
799,7664,0
876,690,0
876,1503,1
876,8175,1
898,2986,0
898,3902,0.5
918,2548,1
918,4484,1
1029,3213,1
1029,7416,1
1029,8388,0
1037,64,0.5
1037,3155,1
1037,5412,1
1037,7955,1
1045,1373,1
1045,1880,0.5
1045,4719,0.5
1045,7412,0.5
1045,7518,1
1057,1512,0.5
1057,3330,1
1057,3837,0.5
1095,7411,0.5
1098,187,0.5
1098,1045,1
1098,1397,0.5
1098,3591,0.5
1098,4719,1
1098,7741,1
1142,1768,0
1142,3479,1
1142,4037,0
1142,4432,0
1142,4850,0
1142,5919,0
1142,7228,0
1146,1155,0
1146,8238,0.5
1155,3048,0.5
1155,5156,1
1187,1481,0.5
1187,2536,0.5
1286,5627,1
1286,7416,0.5
1286,8553,1
1297,6589,0
1298,5356,1
1302,5914,0
1323,2536,0
1323,6332,0.5
1331,2957,0
1373,1098,0.5
1373,1459,0.5
1373,5614,0.5
1373,6346,0
1373,6881,0.5
1373,7412,0.5
1374,1512,0.5
1374,2345,0.5
1397,2416,0.5
1397,3805,0.5
1397,7741,0.5
1397,7965,1
1455,254,1
1455,1095,0.5
1455,3404,1
1455,5097,0.5
1455,7375,0.5
1455,7411,0.5
1459,2809,0.5
1459,3085,0.5
1459,3591,0.5
1459,4679,0.5
1462,1765,1
1473,559,0
1473,6589,0.5
1481,1757,0.5
1481,3787,1
1481,8095,1
1492,2326,0.5
1492,5090,1
1492,5598,0
1503,782,0
1503,6754,1
1512,7650,0
1545,2326,0.5
1545,6303,1
1545,7796,0.5
1620,54,0
1620,2165,0
1620,4757,0
1620,6388,0
1671,8150,0.5
1691,8456,1
1700,1545,0
1748,3997,0.5
1748,7479,1
1757,1187,0
1757,3920,0.5
1765,3760,1
1768,3479,0.5
1768,4850,1
1768,5919,0.5
1768,7228,0.5
1785,1254,1
1799,4842,0.5
1799,7968,1
1852,3516,0.5
1852,7496,0.5
1855,2962,0.5
1855,7134,0.5
1860,2957,0.5
1860,6920,1
1880,1455,0.5
1880,7518,0.5
2006,4321,1
2027,3268,0.5
2027,4288,0.5
2027,6332,0.5
2027,7134,0.5
2032,3213,0.5
2032,5598,0
2038,454,0.5
2038,5318,1
2038,8238,0.5
2089,2797,1
2089,6288,0.5
2089,8115,1
2131,769,0
2144,1481,0.5
2144,5960,1
2165,726,0
2165,4583,1
2176,5571,0.5
2213,3575,0
2215,3819,0.5
2215,4512,0.5
2215,6181,1
2215,7087,1
2283,1860,1
2283,2576,1
2283,2684,0.5
2283,8375,1
2295,672,1
2295,5774,0.5
2295,7049,1
2326,6303,1
2345,3591,0
2345,6346,0.5
2345,7965,0.5
2379,7453,1
2404,316,0
2404,2510,0.5
2404,2585,0
2404,2912,0
2416,1045,0
2416,1374,1
2416,3591,1
2416,4679,0.5
2433,3981,0.5
2436,3404,1
2436,7375,0
2436,7411,0.5
2510,316,0.5
2510,2585,0.5
2510,5333,0
2513,3819,0
2513,4218,0
2513,4512,0.5
2532,2215,0
2532,2513,0
2532,3819,1
2532,4218,0
2536,4288,0
2536,8095,1
2548,414,0.5
2548,6125,0.5
2548,6734,0.5
2576,2957,0
2576,4176,1
2576,8347,0
2585,772,0.5
2585,5333,0.5
2601,5774,1
2601,6867,0.5
2609,4585,1
2642,5470,1
2642,6589,0.5
2683,1098,0.5
2683,8605,0.5
2684,2957,0.5
2684,6920,0.5
2748,1860,0.5
2748,2283,1
2748,4329,0
2762,5282,0
2762,7416,0
2782,2213,0
2793,1142,0.5
2793,3479,0
2793,4037,0
2793,7228,0
2797,940,0
2798,7925,0.5
2809,1374,1
2809,6346,0
2867,7796,0
2869,1799,0.5
2869,4842,0.5
2869,7968,0
2912,316,1
2912,2510,0
2912,2585,0
2912,3669,0.5
2912,5333,0.5
2930,3213,0.5
2930,5627,0
2957,2748,1
2957,4176,0.5
2957,4329,0.5
2957,6920,1
2957,8347,0.5
2962,4583,0.5
2962,6671,0
2986,451,0.5
2986,4331,0.5
2986,8059,0.5
2988,2798,0.5
3048,454,0.5
3048,2038,1
3048,5156,0.5
3058,1700,0
3085,1098,0
3085,1512,0.5
3097,3140,1
3117,2683,0.5
3117,8605,0.5
3155,4283,1
3213,1700,0
3213,2420,0.5
3268,3787,0
3268,5801,0.5
3268,6049,1
3268,6671,0.5
3268,8002,0.5
3268,8148,1
3278,5419,0.5
3278,6589,1
3278,6934,0
3278,7593,1
3278,8353,0.5
3289,1297,1
3289,3268,1
3330,1512,0
3330,3837,0
3330,6239,0.5
3404,5097,1
3404,7411,0
3463,1748,0
3463,6155,0
3479,4432,1
3479,5617,0
3479,5919,0
3479,7228,0
3516,5085,0.5
3554,675,0.5
3554,7631,0
3575,5801,0
3591,5050,0
3591,6944,0.5
3591,7965,1
3664,4047,0
3678,5623,1
3678,6993,0.5
3678,8318,0
3760,1462,0.5
3760,2379,0
3760,5848,0
3787,1187,0
3787,1757,0
3787,3920,0.5
3787,5412,0.5
3787,7134,0
3805,2683,0.5
3805,8605,0.5
3819,166,0
3819,405,1
3819,4512,0
3837,6239,1
3837,8028,0.5
3861,6,0
3902,2762,1
3902,2986,0
3902,4331,0.5
3902,7953,0.5
3902,8059,0
3902,8388,0.5
3909,690,0.5
3909,876,1
3909,8175,1
3920,1187,0
3920,2536,0.5
3931,1089,0
3931,5342,0
3931,7366,1
3931,8469,1
3990,1142,0.5
3990,1768,1
3990,2793,1
3995,313,0.5
3995,918,0
3997,3463,0
3997,3554,1
4037,1768,0.5
4037,4432,1
4037,4850,1
4037,5617,0.5
4037,5919,0.5
4037,7228,1
4047,6270,0
4082,2165,1
4082,4757,1
4082,4900,0.5
4082,7479,1
4176,1860,0.5
4176,2283,0.5
4176,2684,0
4176,8375,0.5
4192,232,0
4218,166,0.5
4218,2215,0.5
4218,7087,0.5
4283,64,0.5
4283,2144,1
4283,5433,0.5
4283,7107,0
4288,1323,1
4288,3575,1
4288,6915,1
4321,3981,0.5
4329,2283,0.5
4329,2576,0.5
4329,8347,0.5
4329,8375,1
4331,451,0.5
4331,898,0
4331,2930,1
4331,7796,1
4432,2793,0.5
4432,3990,0
4432,4850,0.5
4432,5617,0.5
4484,2548,0.5
4495,1057,0.5
4495,1512,1
4512,405,0
4512,2532,0.5
4512,5057,0
4512,6181,0.5
4585,4691,0
4639,7389,0
4679,1098,0.5
4679,1373,0.5
4679,2345,1
4679,8349,0.5
4691,7038,1
4719,5614,0.5
4719,6944,0.5
4755,8103,0.5
4757,1331,1
4757,7300,1
4757,8214,0.5
4766,1852,0
4766,5151,0.5
4771,3097,0
4842,6578,1
4850,3479,1
4850,5919,1
4850,7228,0.5
4883,6288,0.5
4900,2165,1
5050,4679,0.5
5050,7412,0.5
5050,7559,0.5
5050,7650,0
5057,166,0.5
5057,2513,0
5057,3819,1
5085,1331,0
5085,2957,0.5
5090,3902,0.5
5090,5289,1
5097,2436,0.5
5097,8139,0.5
5101,536,0
5101,672,0.5
5101,6867,0
5101,7049,0
5107,56,0
5151,1331,0.5
5151,8214,0
5156,1146,0.5
5156,2038,0
5156,8238,0.5
5282,5356,1
5289,8388,0
5295,6187,0.5
5318,454,0
5318,1155,1
5333,772,1
5333,2404,1
5333,3669,0
5342,7366,1
5342,8469,1
5347,8150,0
5356,7228,0
5379,1247,0.5
5379,1744,1
5412,1481,0.5
5412,2144,0.5
5412,4283,0.5
5412,5456,0.5
5412,8388,1
5419,2642,0.5
5419,6934,0.5
5419,7593,0.5
5433,1757,0
5433,7134,0.5
5433,8347,0.5
5456,3787,0.5
5456,5801,1
5456,8095,0.5
5470,3575,0.5
5470,5419,0.5
5470,8353,1
5571,5101,1
5571,6691,0
5594,2867,0
5594,2930,1
5598,8553,0.5
5614,1045,1
5614,1397,0
5614,1459,1
5614,7741,0.5
5617,2793,0.5
5617,3990,0.5
5617,4850,0.5
5623,6993,0.5
5623,8318,1
5627,5594,0.5
5627,7228,0.5
5675,4484,0
5774,5101,1
5774,7049,1
5801,6049,0.5
5801,6332,1
5848,1462,0.5
5848,1765,1
5848,7453,0.5
5914,6811,0.5
5919,2793,1
5919,3990,1
5919,4432,0.5
5930,2295,0
5930,6211,1
5930,6691,0
5942,4192,1
5942,6908,1
5960,7134,0
6049,5456,1
6049,6161,1
6125,414,0.5
6125,918,0
6125,6734,1
6155,675,0
6161,2213,0.5
6161,6671,0
6161,8002,0
6181,405,1
6181,2513,0
6181,2532,0.5
6181,4218,0
6181,5057,0
6181,7087,1
6187,1048,0
6211,5914,0.5
6239,4495,0.5
6239,6848,0.5
6239,8028,0.5
6268,3404,0
6270,2599,0.5
6288,5470,0.5
6288,8115,0
6303,5627,0.5
6332,3268,0.5
6332,4288,0.5
6332,8148,0
6346,1512,0.5
6346,7741,1
6388,4317,0
6388,7300,0
6422,1691,1
6422,3046,0.5
6578,2869,0.5
6581,1799,0
6589,834,1
6589,5470,1
6589,6934,0.5
6589,7593,0.5
6671,1852,0.5
6671,3575,1
6671,6049,0
6671,8214,0
6691,2295,0.5
6691,2601,0
6706,3931,0.5
6734,111,0.5
6754,3909,1
6811,7451,1
6811,8103,0.5
6848,1057,0.5
6848,3330,1
6848,4495,0.5
6848,8028,0.5
6867,5930,0
6881,1459,0.5
6881,3591,0.5
6881,4719,0
6881,5050,0.5
6881,8349,1
6915,1187,1
6915,1323,0.5
6915,3920,0.5
6920,2283,0
6920,2748,0.5
6920,8347,0
6931,2176,0.5
6931,6211,0
6934,1473,0.5
6934,2642,1
6934,5470,0.5
6934,7593,0
6944,187,0.5
6944,5614,0.5
6946,2329,1
6946,4331,0.5
6946,7796,1
6993,2165,0.5
6993,2176,1
6993,8170,1
6993,8318,0.5
7049,536,0
7049,5930,0.5
7087,2532,0.5
7087,4512,0.5
7107,1037,1
7107,5433,1
7107,8347,0.5
7134,2536,0.5
7134,2782,1
7228,1029,0.5
7228,1298,1
7228,3990,0.5
7228,4331,0.5
7228,4432,1
7228,5617,1
7228,5919,1
7228,6946,0
7300,5085,1
7300,8214,0
7375,1095,1
7375,5097,0.5
7375,7411,0.5
7411,8139,0.5
7412,1397,0
7412,1512,1
7412,2416,0.5
7412,6944,0.5
7412,8349,0.5
7416,6303,0.5
7451,6211,0.5
7453,1462,1
7473,113,1
7473,799,0.5
7473,2797,1
7479,1852,0.5
7479,6155,0.5
7479,7119,0.5
7496,7134,0.5
7496,8170,1
7518,1455,0
7559,1397,0
7559,1512,0.5
7559,4719,0.5
7559,6944,0.5
7593,1473,0.5
7593,2642,0.5
7593,5470,0
7631,675,1
7631,3463,1
7631,7479,0.5
7638,5571,0.5
7638,5623,1
7638,6993,0.5
7650,5614,0.5
7650,7412,0
7664,4883,0.5
7664,8443,1
7698,3678,0
7698,5623,0.5
7722,2006,0
7741,4679,0.5
7741,6944,0.5
7741,7412,0.5
7745,4192,0.5
7745,5942,0.5
7758,2684,1
7758,4757,1
7766,8550,0
7796,1029,1
7796,2420,1
7830,4082,0
7867,2131,0
7867,8379,0.5
7925,2988,1
7938,3463,0
7938,3554,1
7938,6155,0.5
7953,6946,0
7955,2536,1
7955,4283,0.5
7965,1459,0
7965,1512,0.5
7968,6581,1
8002,3499,1
8002,3575,1
8028,1057,1
8072,3909,0
8072,6754,0.5
8095,1757,0.5
8095,3787,0.5
8095,6915,1
8097,1594,0
8097,5068,1
8115,1297,0
8115,3289,0.5
8115,6589,0
8139,1455,0.5
8139,2436,1
8139,3404,0.5
8139,7375,0
8148,2027,0.5
8148,5456,0
8148,5801,0.5
8148,7134,0
8170,5151,0.5
8175,1503,1
8175,8072,0.5
8214,7758,0.5
8238,1155,0
8238,3048,1
8238,5318,1
8263,4331,0
8277,4766,0.5
8347,1860,1
8347,2283,0.5
8347,2684,0.5
8347,3155,1
8347,4176,1
8347,7955,0
8349,1373,0
8349,3085,1
8353,992,0.5
8353,3289,1
8353,3499,1
8353,5419,0.5
8353,6589,1
8353,6934,0.5
8353,7593,0.5
8375,2576,1
8375,2748,0.5
8375,2957,0
8375,6920,1
8379,769,0.5
8388,1187,0.5
8388,1286,1
8388,2326,1
8388,2420,0.5
8443,799,0.5
8443,2797,1
8443,4883,0
8443,6589,0.5
8456,6422,0.5
8469,6706,1
8550,1254,0
8550,1785,0
8553,2762,0
8553,7416,1
8603,7867,0
8603,8379,0
8605,1098,1
8605,1397,0.5
98,7023,0.5
173,4004,0
173,4847,0
173,5995,1
180,4019,0
180,6311,0.5
198,2699,0.5
198,4288,0.5
204,813,1
204,3980,0.5
204,4381,1
204,6808,0.5
204,6808,1
333,4019,0.5
349,793,1
349,1126,0.5
349,2581,1
349,3523,0.5
349,4015,1
349,6165,0.5
349,6937,1
349,8537,0
391,1286,0
477,1548,0
